,titles,links,percents
338,Aumenta el número de migrantes africanos que viajan a Sudamérica para cruzar la frontera hacia EEUU,https://www.europapress.es/internacional/noticia-aumenta-numero-migrantes-africanos-viajan-sudamerica-cruzar-frontera-eeuu-20190714074844.html,35%
339,Duque pide al Consejo de Seguridad que prorrogue otro año la Misión de Verificación del acuerdo de paz,https://www.europapress.es/internacional/noticia-duque-pide-consejo-seguridad-prorrogue-otro-ano-mision-verificacion-acuerdo-paz-20190712212129.html,25%
345,"El Festival FLOP se consolida en Pontevedra como apoyo a la ""inclusión y pluralidad"" de públicos y opciones sexuales",https://www.europapress.es/galicia/noticia-festival-flop-consolida-pontevedra-apoyo-inclusion-pluralidad-publicos-opciones-sexuales-20190710190447.html,25%
346,"Duque avisa a 'Jesús Santrich' de que el Estado será ""implacable"" si intenta ""burlar"" la Justicia",https://www.europapress.es/internacional/noticia-duque-avisa-jesus-santrich-estado-sera-implacable-si-intenta-burlar-justicia-20190701182518.html,25%
347,"Una generación de niños, marcada por la ""guerra contra las drogas"" de Duterte",https://www.europapress.es/internacional/noticia-generacion-ninos-marcada-guerra-contra-drogas-duterte-20190629093001.html,25%
348,Duque anuncia una batería de medidas para garantizar la seguridad de los ex guerrilleros de las FARC,https://www.europapress.es/internacional/noticia-duque-anuncia-bateria-medidas-garantizar-seguridad-ex-guerrilleros-farc-20190627204926.html,25%
349,"El partido de las FARC denuncia que el asesinato de exguerrilleros es una ""clara violación"" del acuerdo de paz",https://www.europapress.es/internacional/noticia-partido-farc-denuncia-asesinato-exguerrilleros-clara-violacion-acuerdo-paz-20190623074554.html,35%
350,EEUU despliega un buque militar medicalizado para atender a los migrantes venezolanos,https://www.europapress.es/internacional/noticia-eeuu-despliega-buque-militar-medicalizado-atender-migrantes-venezolanos-20190618220144.html,35%
351,Las muertes de migrantes latinoamericanos se disparan un 50% en la primera mitad del año,https://www.europapress.es/internacional/noticia-muertes-migrantes-latinoamericanos-disparan-50-primera-mitad-ano-20190618165820.html,25%
352,España ha registrado hasta mayo casi el 90% de las solicitudes de asilo de todo 2018 y acumula 100.000 sin resolver,https://www.europapress.es/epsocial/migracion/noticia-amp-espana-registrado-mayo-casi-90-solicitudes-asilo-todo-2018-acumula-100000-resolver-20190618135107.html,25%
353,España registra hasta mayo casi el 90% de las solicitudes de asilo de todo 2018 y acumula 100.000 sin resolver,https://www.europapress.es/epsocial/migracion/noticia-espana-ya-registrado-mayo-casi-90-solicitudes-asilo-todo-2018-46596-20190618123029.html,25%
354,Arreaza pide a Colombia que respete los acuerdos de paz y que acabe con la producción y distribución de droga,https://www.europapress.es/internacional/noticia-arreaza-pide-colombia-respete-acuerdos-paz-acabe-produccion-distribucion-droga-20190615064250.html,35%
355,"Brasil batió récord de homicidios en 2017, con más de 65.000",https://www.europapress.es/internacional/noticia-brasil-batio-record-homicidios-2017-mas-65000-20190605213158.html,35%
356,Expertos de la ONU urgen al Gobierno a proteger a los ex guerrilleros de las FARC,https://www.europapress.es/internacional/noticia-expertos-onu-urgen-gobierno-proteger-ex-guerrilleros-farc-20190604152919.html,25%
357,El Gobierno de Venezuela y la oposición se citan la próxima semana en Noruega para una segunda ronda de contactos,https://www.europapress.es/internacional/noticia-gobierno-venezuela-oposicion-citan-proxima-semana-noruega-segunda-ronda-contactos-20190526122355.html,25%
358,Inditex y Comillas renuevan la Cátedra de Refugiados para ayudar a encontrar soluciones a personas desplazadas,https://www.europapress.es/epsocial/responsables/noticia-inditex-comillas-renuevan-catedra-refugiados-ayudar-encontrar-soluciones-personas-desplazadas-20190521124839.html,35%
359,Seis años de diálogo fallido entre el Gobierno y la oposición de Venezuela,https://www.europapress.es/internacional/noticia-seis-anos-dialogo-fallido-gobierno-oposicion-venezuela-20190516232007.html,25%
360,Lavrov pide a Zelenski que hable con los separatistas en plena segunda vuelta de las presidenciales ucranianas,https://www.europapress.es/internacional/noticia-lavrov-pide-zelenski-hable-separatistas-plena-segunda-vuelta-presidenciales-ucranianas-20190421131724.html,25%
361,"Alan García, el dos veces presidente de Perú perseguido por la Justicia hasta su muerte",https://www.europapress.es/internacional/noticia-alan-garcia-dos-veces-presidente-peru-perseguido-justicia-muerte-20190417200339.html,25%
362,"El Gobierno de Maduro denuncia que EEUU, Brasil y Colombia preparan una intervención militar en Venezuela",https://www.europapress.es/internacional/noticia-gobierno-maduro-denuncia-eeuu-brasil-colombia-preparan-intervencion-militar-venezuela-20190415192712.html,25%
363,La Fiscalía acusa a 86 ex paramilitares de participar en varios actos violentos entre 1985 y 2006,https://www.europapress.es/internacional/noticia-fiscalia-acusa-89-ex-guerrilleros-participar-varios-actos-violentos-1985-2006-20190413012837.html,25%
364,"El Gobierno venezolano defiende el mecanismo de Montevideo como fórmula de diálogo ""más sincera y rigurosa""",https://www.europapress.es/internacional/noticia-gobierno-venezolano-defiende-mecanismo-montevideo-formula-dialogo-mas-sincera-rigurosa-20190407223007.html,25%
365,"La crisis migratoria en Venezuela deja a 1,1 millones de niños necesitados de ayuda en la región",https://www.europapress.es/internacional/noticia-crisis-migratoria-venezuela-deja-11-millones-ninos-necesitados-ayuda-region-20190405020435.html,25%
366,Miles de personas marchan por la paz en Colombia,https://www.europapress.es/internacional/noticia-miles-personas-marchan-paz-colombia-20190319040009.html,25%
367,Gobierno Vasco colabora junto a la UE y Colombia en el impulso de una red de cooperativas para ayudar al proceso de paz,https://www.europapress.es/euskadi/noticia-gobierno-vasco-colabora-junto-ue-colombia-impulso-red-cooperativas-ayudar-proceso-paz-20190313182857.html,35%
368,Duque rechaza varios artículos de una ley clave para la implementación del acuerdo de paz con las FARC,https://www.europapress.es/internacional/noticia-duque-rechaza-varios-articulos-ley-clave-implementacion-acuerdo-paz-farc-20190311045114.html,25%
369,La OEA dice que el número de refugiados y migrantes venezolanos podría superar los cinco millones en 2019,https://www.europapress.es/internacional/noticia-oea-dice-numero-refugiados-migrantes-venezolanos-podria-superar-cinco-millones-2019-20190308224319.html,35%
370,"Tatis Guerra publica 'La flor amarilla del prestidigitador': ""García Márquez sabía que todo populismo es negativo""",https://www.europapress.es/cultura/libros-00132/noticia-tatis-guerra-publica-flor-amarilla-prestidigitador-garcia-marquez-sabia-todo-populismo-negativo-20190307160644.html,35%
